X,Y,version,station,name,grid,ihdtm_x,ihdtm_y,centroid_x,centroid_y,dtm_area,altbar,aspbar,bfihost,dplbar,dpsbar,farl,fpext,ldp,propwet,rmed1h,rmed1d,rmed2d,saar,saar4170,sprhost,urbconc1990,urbext1990,urbloc1990,urbconc2000,urbext2000,urbloc2000,qmed_suitability,pooling_suitability,data_source,amax_record_length,qmed_obs,qmed_cds2008
289150,245950,3,55004,Irfon                 ,GB,289150,245950,284965,252743,73.06,412,152,0.402,11.78,188.6,1,0.0287,23.15,0.65,11.4,52.8,70,1845,1913,46.24,-9.999,0.0009,-9.999,-9.999,0.0033,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,45,56.542,70.51958163
307550,244450,3,55007,Wye                   ,GB,307550,244450,298496,263086,1283.4,343,132,0.426,42.94,152.4,0.96,0.0412,84.45,0.53,10.3,44.7,60,1386,1413,42.23,-9.999,0.001,-9.999,-9.999,0.0022,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,72,523.4145,471.8939572
332850,258500,3,55013,Arrow                 ,GB,332850,258500,323594,254543,125.92,303,103,0.553,14.89,130,0.999,0.0382,28.39,0.49,9.8,37.5,48.7,962,1086,34.31,-9.999,0.003,-9.999,-9.999,0.0046,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,42,27.155,28.20968149
336450,264650,3,55014,Lugg                  ,GB,336450,264650,324892,265277,202.54,299,122,0.593,17.88,158.5,0.996,0.0646,31.7,0.49,9.8,36.1,47.3,977,1062,31.41,-9.999,0.0023,-9.999,-9.999,0.0009,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,42,27.1865,37.43209527
350250,258900,3,55021,Lugg                  ,GB,350250,258900,334076,264541,365.9,232,136,0.61,28.42,125.6,0.992,0.0902,54.57,0.37,10,35,44.9,877,951,30.24,0.154,0.005,0.136,-9.999,0.0035,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,38,44.809,46.07870162
297600,267550,3,55026,Wye                   ,GB,297600,267550,292074,276803,172.17,387,125,0.423,18.25,180.2,0.997,0.041,37.71,0.59,11.1,52.7,69.9,1636,1603,43.35,-9.999,0.0015,-9.999,-9.999,0.0025,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,40,115.1575,120.5367846
341550,224850,3,55029,Monnow                ,GB,341550,224850,334942,231598,355.07,228,103,0.583,20.1,129.9,0.997,0.0723,40.55,0.41,10.1,39.8,51.3,956,999,35.28,-9.999,0.0034,-9.999,-9.999,0.003,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,36,157.368,60.20813212
334700,205650,3,56001,Usk                   ,GB,334700,205650,308051,225004,913.2,312,109,0.597,55.09,159.8,0.98,0.0445,94.4,0.56,11.1,50.2,66.4,1367,1386,28.86,-9.999,0.0045,-9.999,0.72,0.0064,0.66,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,53,398.616,217.1868075
312700,220350,3,56004,Usk                   ,GB,312700,220350,297278,229567,545.59,328,100,0.547,30.21,148.6,0.974,0.037,53.12,0.57,11.4,52.2,70.2,1478,1492,35.02,-9.999,0.002,-9.999,-9.999,0.0039,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,44,337.7805,181.3283484
294700,229550,3,56006,Usk                   ,GB,294700,229550,288960,227656,184.74,344,37,0.477,13.11,136.4,0.963,0.0365,24.81,0.62,12.2,59.6,82.1,1674,1674,40.54,-9.999,0.0008,-9.999,-9.999,0.0016,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,45,162.147,100.3572007
